Time - Voltage	Amplitude - Voltage	
7	27.6	-1.045
7	27.6	-0.625
7	27.6	-0.42
7	27.6	-0.42
7	27.6	-0.486
7	27.6	-0.422
7	27.6	-0.444
7	27.6	-0.527
7	27.6	-0.554
7	27.6	-0.476
7	27.6	-0.425
7	27.6	-0.64
7	27.7	-0.686
7	27.7	-0.627
7	27.7	-0.427
7	27.7	-0.432
7	27.7	-0.542
7	27.7	-0.652
7	27.7	-0.454
7	27.7	-0.454
7	27.7	-0.442
7	27.7	-0.422
7	27.8	-0.532
7	27.8	-0.459
7	27.8	-0.432
7	27.8	-0.789
7	27.8	-1.174
7	27.8	-0.979
7	27.8	-0.913
7	27.8	-0.981
7	27.8	-0.85
7	27.8	-1.221
7	27.8	-1.113
7	27.9	-1.116
7	27.9	-0.933
7	27.9	-1.187
7	27.9	-1.443
7	27.9	-1.553
7	27.9	-1.401
7	27.9	-0.908
7	27.9	-1.284
7	27.9	-1.648
7	27.9	-2.07
7	27.9	-1.714
7	28	-1.506
7	28	-1.953
7	28	-2.322
7	28	-2.2
7	28	-1.99
7	28	-1.875
7	28	-2.349
7	28	-2.371
7	28	-2.312
7	28	-2.449
7	28	-2.266
7	28.1	-2.256
7	28.1	-2.927
7	28.1	-3.125
7	28.1	-2.986
7	28.1	-2.712
7	28.1	-2.717
7	28.1	-3
7	28.1	-3.22
7	28.1	-3.108
7	28.1	-3.12
7	28.1	-3.135
7	28.2	-3.42
7	28.2	-3.701
7	28.2	-3.184
7	28.2	-2.722
7	28.2	-2.961
7	28.2	-3.418
7	28.2	-3.572
7	28.2	-3.42
7	28.2	-2.8
7	28.2	-3.457
7	28.2	-4.099
7	28.3	-3.809
7	28.3	-3.386
7	28.3	-3.452
7	28.3	-3.884
7	28.3	-4.133
7	28.3	-4.246
7	28.3	-3.984
7	28.3	-4.199
7	28.3	-4.219
7	28.3	-4.407
7	28.4	-4.495
7	28.4	-4.521
7	28.4	-4.565
7	28.4	-4.57
7	28.4	-4.565
7	28.4	-4.465
7	28.4	-4.539
7	28.4	-4.568
7	28.4	-4.438
7	28.4	-4.346
7	28.4	-4.209
7	28.5	-4.358
7	28.5	-4.407
7	28.5	-4.377
